date,service,cost,account_id,region
2023-01-05,RDS,143.83,A4332,us-east-1
2023-01-05,RDS,99.69,A4408,eu-central-1
2023-01-05,Lambda,53.19,A6357,us-east-1
2023-01-06,Lambda,105.65,A1334,us-west-2
2023-01-06,CloudWatch,42.32,A9095,us-west-2
2023-01-06,S3,178.29,A3546,eu-central-1
2023-01-06,Lambda,123.58,A4622,us-west-2
2023-01-06,EC2,58.83,A9861,us-east-1
2023-01-06,CloudWatch,199.7,A7462,us-west-2
2023-01-06,RDS,65.4,A2986,us-east-1
2023-01-06,RDS,144.31,A3297,eu-central-1
2023-01-06,CloudWatch,184.92,A1405,us-west-2
2023-01-06,CloudWatch,43.18,A8757,eu-central-1
2023-01-06,EC2,6.22,A6769,us-east-1
2023-01-06,EC2,125.64,A6317,us-east-1
2023-01-06,CloudWatch,77.76,A8981,us-west-2
2023-01-06,Lambda,59.62,A9621,eu-central-1
2023-01-06,RDS,199.45,A6952,us-east-1
2023-01-07,CloudWatch,89.66,A9416,us-west-2
2023-01-07,CloudWatch,23.39,A1417,us-west-2
2023-01-07,RDS,140.43,A8595,eu-central-1
2023-01-07,EC2,154.56,A9634,us-west-2
2023-01-07,S3,145.89,A2001,us-west-2
2023-01-07,EC2,180.88,A9125,eu-central-1
2023-01-07,Lambda,188.59,A4675,us-west-2
2023-01-07,RDS,65.22,A4026,eu-central-1
2023-01-07,RDS,185.99,A3163,us-west-2
2023-01-07,EC2,61.46,A5514,us-east-1
2023-01-07,Lambda,154.49,A2305,us-east-1
2023-01-07,EC2,116.06,A6764,us-west-2
2023-01-07,S3,59.91,A5298,us-east-1
2023-01-08,CloudWatch,101.8,A8656,eu-central-1
2023-01-08,EC2,33.18,A2212,us-east-1
2023-01-08,RDS,107.65,A4885,us-east-1
2023-01-08,S3,120.03,A4828,us-east-1
2023-01-08,CloudWatch,49.48,A7897,us-east-1
2023-01-08,RDS,196.67,A8096,us-east-1
2023-01-08,Lambda,83.66,A2069,us-east-1
2023-01-08,RDS,189.91,A9803,us-east-1
2023-01-08,EC2,62.29,A3025,eu-central-1
2023-01-08,EC2,180.21,A9244,eu-central-1
2023-01-08,S3,62.72,A9558,us-east-1
2023-01-08,EC2,145.38,A6965,us-west-2
2023-01-09,CloudWatch,35.93,A5552,us-west-2
2023-01-09,RDS,182.51,A7900,us-east-1
2023-01-09,Lambda,177.19,A5227,eu-central-1
2023-01-09,RDS,59.66,A2848,eu-central-1
2023-01-09,S3,186.13,A6963,eu-central-1
2023-01-09,EC2,74.29,A3716,us-east-1
2023-01-09,EC2,80.42,A7251,us-east-1
2023-01-09,Lambda,90.88,A3672,us-east-1
2023-01-10,CloudWatch,125.99,A2116,eu-central-1
2023-01-10,S3,22.26,A4781,us-west-2
2023-01-10,Lambda,198.06,A6755,us-east-1
2023-01-10,Lambda,72.8,A7984,eu-central-1
2023-01-10,Lambda,151.69,A2337,us-west-2
2023-01-10,EC2,101.14,A4433,eu-central-1
2023-01-10,CloudWatch,86.13,A1531,us-east-1
2023-01-10,EC2,90.9,A2898,us-west-2
2023-01-10,EC2,178.13,A8596,eu-central-1
2023-01-10,S3,60.69,A7298,eu-central-1
2023-01-10,CloudWatch,18.42,A5370,us-west-2
2023-01-10,RDS,174.0,A9104,us-west-2
2023-01-10,EC2,167.21,A7531,us-west-2
2023-01-10,EC2,12.36,A5714,us-east-1
2023-01-11,S3,23.75,A9298,us-east-1
2023-01-11,RDS,25.37,A3681,us-west-2
2023-01-11,Lambda,33.88,A6415,us-east-1
2023-01-11,RDS,80.2,A2138,us-west-2
2023-01-11,CloudWatch,32.12,A3736,us-east-1
2023-01-11,EC2,62.94,A4606,us-west-2
2023-01-11,S3,132.14,A9723,us-east-1
2023-01-11,EC2,175.49,A9020,us-east-1
2023-01-11,EC2,25.55,A6770,eu-central-1
2023-01-11,CloudWatch,111.0,A5607,eu-central-1
2023-01-11,RDS,23.94,A8216,us-west-2
2023-01-11,Lambda,100.98,A9777,eu-central-1
2023-01-11,CloudWatch,62.12,A3348,eu-central-1
2023-01-12,S3,170.21,A4242,us-west-2
2023-01-12,EC2,93.99,A5535,eu-central-1
2023-01-12,Lambda,137.06,A5146,eu-central-1
2023-01-12,EC2,170.62,A1561,us-east-1
2023-01-12,CloudWatch,142.04,A9310,us-west-2
2023-01-12,S3,65.08,A9964,us-west-2
2023-01-12,EC2,102.83,A7529,us-west-2
2023-01-12,S3,196.83,A1753,us-west-2
2023-01-12,EC2,80.88,A1609,us-west-2
2023-01-12,CloudWatch,149.03,A8512,us-east-1
2023-01-12,EC2,6.52,A1492,us-west-2
2023-01-12,CloudWatch,175.05,A1706,us-east-1
2023-01-12,RDS,8.26,A7775,us-east-1
2023-01-13,S3,12.69,A4341,us-west-2
2023-01-13,S3,167.01,A7983,eu-central-1
2023-01-13,CloudWatch,116.66,A8310,eu-central-1
2023-01-13,S3,146.44,A1724,eu-central-1
2023-01-13,RDS,102.21,A1213,us-west-2
2023-01-13,RDS,83.84,A4008,eu-central-1
2023-01-13,CloudWatch,69.99,A1503,us-west-2
2023-01-13,S3,93.24,A9957,us-east-1
2023-01-13,RDS,64.66,A2459,us-east-1
2023-01-14,EC2,126.81,A1334,us-east-1
2023-01-14,EC2,53.64,A9671,eu-central-1
2023-01-14,Lambda,156.73,A6360,us-west-2
2023-01-14,EC2,112.6,A6819,eu-central-1
2023-01-14,Lambda,48.23,A3488,us-west-2
2023-01-14,S3,25.08,A1234,eu-central-1
2023-01-14,EC2,184.84,A5223,us-west-2
2023-01-15,S3,103.82,A5177,us-east-1
2023-01-15,CloudWatch,146.72,A3887,us-west-2
2023-01-15,EC2,32.24,A1739,us-east-1
2023-01-15,RDS,44.9,A1625,eu-central-1
2023-01-15,S3,185.76,A1991,us-east-1
2023-01-15,CloudWatch,129.48,A7970,us-west-2
2023-01-15,EC2,28.72,A6069,us-east-1
2023-01-15,Lambda,158.59,A5612,us-east-1
2023-01-15,S3,148.96,A1907,eu-central-1
2023-01-15,CloudWatch,33.69,A4614,us-east-1
2023-01-15,RDS,34.06,A6132,eu-central-1
2023-01-15,S3,29.56,A7889,us-east-1
2023-01-15,CloudWatch,180.23,A1858,us-west-2
2023-01-15,RDS,19.49,A4945,us-east-1
2023-01-15,RDS,184.82,A2451,us-west-2
2023-01-16,Lambda,115.75,A8660,us-west-2
2023-01-16,Lambda,141.46,A5238,us-east-1
2023-01-16,EC2,189.15,A7911,us-west-2
2023-01-16,Lambda,175.55,A8445,eu-central-1
2023-01-16,S3,40.27,A6004,us-west-2
2023-01-16,Lambda,164.37,A3892,us-east-1
2023-01-16,CloudWatch,153.27,A8540,eu-central-1
2023-01-17,CloudWatch,37.98,A6620,eu-central-1
2023-01-17,Lambda,115.49,A4897,us-west-2
2023-01-17,EC2,33.32,A6914,eu-central-1
2023-01-17,Lambda,22.19,A7286,eu-central-1
2023-01-17,RDS,183.65,A7217,eu-central-1
2023-01-17,EC2,170.12,A1520,eu-central-1
2023-01-17,Lambda,38.19,A4347,us-west-2
2023-01-17,Lambda,77.3,A9559,us-west-2
2023-01-17,CloudWatch,6.75,A2325,us-east-1
2023-01-17,EC2,122.05,A3064,us-east-1
2023-01-17,S3,183.53,A2105,us-west-2
2023-01-17,EC2,129.61,A6244,us-west-2
2023-01-17,EC2,24.54,A9519,us-east-1
2023-01-18,RDS,80.69,A2406,us-east-1
2023-01-18,RDS,52.05,A3634,eu-central-1
2023-01-18,EC2,141.7,A8684,eu-central-1
2023-01-18,S3,179.39,A1857,eu-central-1
2023-01-18,Lambda,152.93,A5218,eu-central-1
2023-01-19,EC2,86.35,A8857,us-west-2
2023-01-19,S3,45.52,A2227,us-west-2
2023-01-19,EC2,196.29,A4203,eu-central-1
2023-01-19,Lambda,174.48,A3252,us-west-2
2023-01-19,S3,64.23,A9128,eu-central-1
2023-01-19,CloudWatch,190.0,A9399,us-west-2
2023-01-19,CloudWatch,152.35,A2048,us-west-2
2023-01-19,CloudWatch,43.51,A6295,us-east-1
2023-01-19,RDS,194.81,A5757,us-east-1
2023-01-19,CloudWatch,114.29,A7026,us-east-1
2023-01-19,RDS,175.38,A2661,us-west-2
2023-01-19,S3,196.26,A2307,us-west-2
2023-01-20,S3,24.35,A5633,eu-central-1
2023-01-20,RDS,147.4,A7693,us-east-1
2023-01-20,Lambda,138.24,A2969,us-west-2
2023-01-20,Lambda,74.94,A2315,us-west-2
2023-01-20,Lambda,104.31,A3030,us-east-1
2023-01-20,CloudWatch,126.52,A4098,us-west-2
2023-01-20,EC2,110.63,A3733,eu-central-1
2023-01-20,RDS,131.59,A4762,us-west-2
2023-01-20,S3,181.53,A3702,us-east-1
2023-01-20,EC2,138.99,A6212,us-east-1
2023-01-20,RDS,136.67,A1841,us-east-1
2023-01-20,S3,94.79,A7679,eu-central-1
2023-01-20,CloudWatch,48.9,A3902,us-west-2
2023-01-20,EC2,113.07,A3654,us-west-2
2023-01-21,CloudWatch,69.85,A9642,eu-central-1
2023-01-21,EC2,105.88,A4079,us-east-1
2023-01-21,S3,141.07,A6829,us-west-2
2023-01-21,CloudWatch,36.22,A7306,us-west-2
2023-01-21,EC2,12.68,A4613,us-west-2
2023-01-22,CloudWatch,131.8,A5807,us-east-1
2023-01-22,CloudWatch,108.44,A5247,us-east-1
2023-01-22,RDS,111.0,A6970,eu-central-1
2023-01-22,S3,67.6,A6210,eu-central-1
2023-01-22,RDS,126.33,A4332,us-west-2
2023-01-22,Lambda,28.02,A2994,eu-central-1
2023-01-22,Lambda,53.18,A2722,us-east-1
2023-01-22,S3,147.67,A3328,eu-central-1
2023-01-22,Lambda,86.49,A7632,us-west-2
2023-01-23,EC2,18.31,A5139,eu-central-1
2023-01-23,EC2,37.06,A5290,eu-central-1
2023-01-23,Lambda,134.93,A6497,us-west-2
2023-01-23,Lambda,36.07,A3104,eu-central-1
2023-01-23,Lambda,179.07,A5133,eu-central-1
2023-01-23,CloudWatch,171.8,A8559,eu-central-1
2023-01-23,EC2,187.69,A6710,us-west-2
2023-01-23,EC2,77.0,A5248,us-west-2
2023-01-23,CloudWatch,95.41,A8031,eu-central-1
2023-01-23,EC2,53.26,A7268,eu-central-1
2023-01-23,EC2,53.32,A8137,us-east-1
2023-01-23,RDS,24.67,A6996,us-east-1
2023-01-24,CloudWatch,60.81,A3299,us-west-2
2023-01-24,RDS,147.06,A2956,us-east-1
2023-01-24,RDS,159.65,A2010,us-east-1
2023-01-24,Lambda,77.61,A8431,eu-central-1
2023-01-24,S3,148.3,A2433,us-west-2
2023-01-25,Lambda,166.07,A3446,eu-central-1
2023-01-25,Lambda,18.42,A4454,us-west-2
2023-01-25,S3,175.95,A9775,us-east-1
2023-01-25,CloudWatch,150.23,A8285,us-east-1
2023-01-25,S3,172.83,A9961,us-east-1
2023-01-25,RDS,71.69,A1418,us-west-2
2023-01-25,Lambda,87.76,A2410,us-east-1
2023-01-25,EC2,25.11,A2079,us-west-2
2023-01-25,EC2,105.19,A7267,us-east-1
2023-01-25,S3,107.42,A7750,us-east-1
2023-01-25,RDS,184.34,A1566,eu-central-1
2023-01-26,Lambda,32.39,A6910,us-east-1
2023-01-26,RDS,181.12,A4996,us-west-2
2023-01-26,CloudWatch,132.76,A7928,us-west-2
2023-01-26,Lambda,86.51,A5048,eu-central-1
2023-01-26,RDS,189.19,A6251,eu-central-1
2023-01-26,EC2,166.79,A4314,us-west-2
2023-01-26,S3,19.62,A3188,eu-central-1
2023-01-26,EC2,92.61,A5568,us-east-1
2023-01-26,CloudWatch,85.13,A2837,us-east-1
2023-01-27,EC2,122.31,A8349,us-west-2
2023-01-27,EC2,114.76,A2156,eu-central-1
2023-01-27,S3,145.2,A8490,us-east-1
2023-01-27,Lambda,16.19,A5650,eu-central-1
2023-01-27,S3,199.75,A4995,us-west-2
2023-01-27,CloudWatch,57.63,A2324,us-east-1
2023-01-27,Lambda,98.41,A2493,eu-central-1
2023-01-27,EC2,162.51,A4528,us-west-2
2023-01-27,EC2,42.29,A4926,us-west-2
2023-01-27,Lambda,174.4,A6696,eu-central-1
2023-01-27,Lambda,166.66,A2186,eu-central-1
2023-01-27,RDS,147.0,A9402,eu-central-1
2023-01-27,EC2,60.98,A6937,us-east-1
2023-01-28,RDS,164.88,A2716,eu-central-1
2023-01-28,EC2,125.55,A5581,eu-central-1
2023-01-28,EC2,155.62,A9697,eu-central-1
2023-01-28,CloudWatch,184.95,A6315,us-west-2
2023-01-28,RDS,12.07,A8096,us-east-1
2023-01-28,CloudWatch,145.96,A9578,us-east-1
2023-01-28,S3,47.56,A8648,us-west-2
2023-01-28,S3,79.97,A9500,us-east-1
2023-01-28,Lambda,145.65,A9288,eu-central-1
2023-01-28,CloudWatch,57.7,A9944,us-east-1
2023-01-28,S3,71.57,A5999,us-east-1
2023-01-29,S3,53.7,A4039,us-east-1
2023-01-29,RDS,158.37,A3824,us-east-1
2023-01-29,RDS,77.15,A6436,us-east-1
2023-01-29,RDS,75.4,A3545,eu-central-1
2023-01-29,Lambda,59.06,A9893,us-east-1
2023-01-29,CloudWatch,31.37,A6328,us-west-2
2023-01-29,EC2,178.66,A9927,us-west-2
2023-01-29,CloudWatch,40.58,A3421,us-east-1
2023-01-29,EC2,22.11,A5534,eu-central-1
2023-01-29,S3,100.19,A7640,eu-central-1
2023-01-29,S3,59.41,A5213,us-west-2
2023-01-29,EC2,70.2,A7806,us-west-2
2023-01-29,RDS,43.82,A3069,eu-central-1
2023-01-29,CloudWatch,197.53,A6725,eu-central-1
2023-01-30,Lambda,37.42,A8920,us-west-2
2023-01-30,RDS,192.63,A5462,us-east-1
2023-01-30,EC2,136.02,A2757,eu-central-1
2023-01-30,Lambda,79.55,A3761,us-east-1
2023-01-30,S3,118.74,A7613,us-west-2
2023-01-31,S3,63.97,A5984,eu-central-1
2023-01-31,EC2,26.46,A2691,eu-central-1
2023-01-31,RDS,61.57,A6617,eu-central-1
2023-01-31,CloudWatch,182.1,A9763,us-east-1
2023-01-31,S3,47.16,A5786,us-east-1
2023-01-31,CloudWatch,150.27,A8176,us-west-2
2023-01-31,S3,137.68,A3078,us-west-2
2023-01-31,Lambda,193.76,A6721,us-west-2
2023-01-31,RDS,113.32,A3898,us-west-2
2023-01-31,S3,88.98,A2658,us-east-1
2023-02-01,S3,123.7,A5967,us-east-1
2023-02-01,S3,112.22,A4579,us-east-1
2023-02-01,EC2,122.17,A3372,us-east-1
2023-02-01,S3,10.49,A9312,eu-central-1
2023-02-01,EC2,97.06,A9815,us-west-2
2023-02-01,RDS,104.83,A1938,us-east-1
2023-02-01,CloudWatch,11.52,A8926,us-east-1
2023-02-01,CloudWatch,155.1,A3008,us-west-2
2023-02-01,EC2,27.89,A4974,us-west-2
2023-02-01,S3,124.44,A9873,us-west-2
2023-02-02,Lambda,198.09,A3320,us-east-1
2023-02-02,RDS,59.19,A3197,us-west-2
2023-02-02,CloudWatch,119.46,A8546,us-west-2
2023-02-02,S3,67.33,A2411,eu-central-1
2023-02-02,Lambda,174.52,A3145,us-east-1
2023-02-02,CloudWatch,9.49,A5202,us-west-2
2023-02-02,CloudWatch,150.15,A2280,us-west-2
2023-02-02,EC2,30.81,A6047,us-west-2
2023-02-02,RDS,152.79,A2906,eu-central-1
2023-02-02,EC2,68.98,A3391,us-east-1
2023-02-02,CloudWatch,154.05,A9811,eu-central-1
2023-02-02,Lambda,173.6,A4943,us-east-1
2023-02-02,Lambda,84.78,A7736,eu-central-1
2023-02-03,Lambda,101.26,A8860,us-west-2
2023-02-03,EC2,97.32,A7566,us-east-1
2023-02-03,EC2,89.11,A8295,us-west-2
2023-02-03,S3,166.26,A8054,us-west-2
2023-02-03,RDS,143.58,A3803,eu-central-1
2023-02-03,Lambda,135.27,A1619,us-east-1
2023-02-03,CloudWatch,98.64,A2202,us-west-2
2023-02-03,CloudWatch,75.07,A2280,us-east-1
2023-02-03,CloudWatch,153.89,A6543,eu-central-1
2023-02-03,RDS,143.54,A3635,us-west-2
2023-02-03,EC2,45.05,A7119,us-west-2
2023-02-03,Lambda,155.17,A8920,eu-central-1
2023-02-04,EC2,119.24,A9908,us-east-1
2023-02-04,Lambda,178.58,A3069,us-east-1
2023-02-04,EC2,105.64,A8405,us-east-1
2023-02-04,CloudWatch,170.24,A9213,us-east-1
2023-02-04,S3,61.25,A2665,eu-central-1
2023-02-04,RDS,123.09,A4802,us-east-1
2023-02-04,Lambda,67.1,A4429,eu-central-1
2023-02-04,S3,101.26,A3992,eu-central-1
2023-02-04,RDS,198.19,A9361,eu-central-1
2023-02-04,Lambda,71.27,A7076,us-west-2
2023-02-04,RDS,115.52,A4118,eu-central-1
2023-02-04,Lambda,119.99,A1966,us-west-2
2023-02-05,RDS,110.86,A7803,us-east-1
2023-02-05,EC2,159.91,A1268,eu-central-1
2023-02-05,Lambda,161.87,A9273,us-west-2
2023-02-05,S3,42.79,A1498,us-west-2
2023-02-05,RDS,195.24,A6881,eu-central-1
2023-02-05,EC2,82.01,A1379,us-west-2
2023-02-05,CloudWatch,7.93,A8320,eu-central-1
2023-02-05,RDS,194.45,A8519,eu-central-1
2023-02-05,S3,20.9,A8347,us-west-2
2023-02-06,EC2,120.23,A1019,us-west-2
2023-02-06,Lambda,129.33,A8348,eu-central-1
2023-02-06,RDS,95.96,A4668,eu-central-1
2023-02-06,Lambda,98.65,A3266,us-west-2
2023-02-06,CloudWatch,31.06,A5794,us-west-2
2023-02-06,S3,39.13,A1659,us-west-2
2023-02-07,S3,28.68,A4772,us-west-2
2023-02-07,RDS,13.33,A1389,us-east-1
2023-02-07,RDS,73.21,A9334,us-west-2
2023-02-07,S3,141.78,A6830,us-east-1
2023-02-07,RDS,164.37,A9118,us-west-2
2023-02-08,RDS,131.44,A4916,us-east-1
2023-02-08,EC2,61.26,A4484,eu-central-1
2023-02-08,Lambda,23.42,A2747,us-west-2
2023-02-08,CloudWatch,195.92,A3996,us-west-2
2023-02-08,CloudWatch,55.18,A2984,eu-central-1
2023-02-08,EC2,172.64,A4317,us-west-2
2023-02-09,CloudWatch,29.19,A8148,us-west-2
2023-02-09,RDS,133.09,A8796,eu-central-1
2023-02-09,S3,156.5,A3017,us-west-2
2023-02-09,EC2,53.17,A7767,us-west-2
2023-02-09,S3,167.71,A8913,us-east-1
2023-02-09,RDS,84.96,A4039,eu-central-1
2023-02-09,CloudWatch,115.72,A6768,eu-central-1
2023-02-09,Lambda,122.44,A2899,us-east-1
2023-02-09,Lambda,189.13,A7487,us-east-1
2023-02-09,EC2,177.77,A6761,eu-central-1
2023-02-09,CloudWatch,160.23,A1870,us-east-1
2023-02-10,EC2,152.54,A1735,eu-central-1
2023-02-10,CloudWatch,140.82,A2702,us-west-2
2023-02-10,RDS,195.25,A1571,us-east-1
2023-02-10,EC2,199.43,A5267,us-west-2
2023-02-10,CloudWatch,145.51,A8171,us-east-1
2023-02-10,EC2,185.76,A8857,eu-central-1
2023-02-10,Lambda,74.24,A5639,us-west-2
2023-02-10,RDS,169.19,A7935,us-west-2
2023-02-11,Lambda,73.66,A2357,eu-central-1
2023-02-11,RDS,181.04,A9051,us-west-2
2023-02-11,EC2,94.18,A1992,us-west-2
2023-02-11,EC2,91.21,A8209,eu-central-1
2023-02-11,Lambda,198.62,A9228,eu-central-1
2023-02-11,RDS,27.89,A8187,eu-central-1
2023-02-11,S3,184.11,A3036,eu-central-1
2023-02-11,RDS,117.95,A4550,us-west-2
2023-02-11,Lambda,81.46,A8248,us-east-1
2023-02-11,EC2,172.44,A6289,us-east-1
2023-02-11,EC2,11.07,A5970,us-east-1
2023-02-11,CloudWatch,138.6,A5741,us-east-1
2023-02-12,EC2,7.16,A7795,us-east-1
2023-02-12,Lambda,110.68,A7345,eu-central-1
2023-02-12,RDS,59.3,A7253,us-west-2
2023-02-12,Lambda,27.0,A1891,eu-central-1
2023-02-12,EC2,160.53,A6071,eu-central-1
2023-02-12,CloudWatch,136.74,A1160,eu-central-1
2023-02-12,S3,98.01,A7455,us-west-2
2023-02-12,Lambda,41.64,A7448,eu-central-1
2023-02-12,RDS,7.32,A4147,eu-central-1
2023-02-13,EC2,93.31,A5494,eu-central-1
2023-02-13,EC2,121.08,A3556,us-west-2
2023-02-13,RDS,76.36,A7329,eu-central-1
2023-02-13,EC2,60.58,A5664,us-west-2
2023-02-13,S3,64.65,A8754,eu-central-1
2023-02-13,EC2,69.41,A9294,us-west-2
2023-02-13,Lambda,18.85,A2746,us-west-2
2023-02-13,Lambda,59.3,A6738,us-east-1
2023-02-13,Lambda,193.0,A6088,us-east-1
2023-02-13,CloudWatch,193.98,A6316,eu-central-1
2023-02-13,Lambda,79.81,A8712,us-east-1
2023-02-13,RDS,44.29,A7245,us-east-1
2023-02-13,S3,145.46,A1363,us-east-1
2023-02-13,CloudWatch,35.73,A4845,us-east-1
2023-02-14,RDS,178.56,A2337,us-west-2
2023-02-14,EC2,183.08,A3777,eu-central-1
2023-02-14,Lambda,19.0,A4738,us-east-1
2023-02-14,S3,109.32,A6793,us-west-2
2023-02-14,RDS,182.15,A5717,eu-central-1
2023-02-14,CloudWatch,94.27,A5937,us-west-2
2023-02-14,RDS,116.06,A5239,us-west-2
2023-02-14,CloudWatch,81.34,A4207,us-west-2
2023-02-14,CloudWatch,115.48,A3229,us-west-2
2023-02-15,EC2,51.93,A8081,us-east-1
2023-02-15,Lambda,26.65,A6948,eu-central-1
2023-02-15,S3,166.37,A5609,eu-central-1
2023-02-15,RDS,143.28,A2598,us-east-1
2023-02-15,CloudWatch,29.36,A5755,us-east-1
2023-02-15,CloudWatch,187.53,A7667,us-east-1
2023-02-15,RDS,137.14,A3167,eu-central-1
2023-02-15,EC2,20.5,A6773,eu-central-1
2023-02-15,EC2,195.13,A7843,us-west-2
2023-02-15,Lambda,58.38,A4962,us-east-1
2023-02-16,CloudWatch,130.14,A3131,us-west-2
2023-02-16,Lambda,183.61,A5784,us-east-1
2023-02-16,EC2,112.24,A8361,us-east-1
2023-02-16,RDS,178.6,A3949,us-west-2
2023-02-16,RDS,35.59,A8368,eu-central-1
2023-02-16,Lambda,74.07,A9029,us-east-1
2023-02-16,EC2,187.96,A2930,us-east-1
2023-02-16,EC2,131.56,A1477,us-east-1
2023-02-17,CloudWatch,176.01,A1668,eu-central-1
2023-02-17,S3,91.83,A6624,us-east-1
2023-02-17,EC2,133.33,A1862,us-west-2
2023-02-17,EC2,28.82,A8586,us-west-2
2023-02-17,S3,129.36,A7866,us-west-2
2023-02-17,EC2,8.48,A4224,us-west-2
2023-02-18,Lambda,26.54,A5510,us-east-1
2023-02-18,Lambda,98.19,A7021,us-east-1
2023-02-18,RDS,130.17,A7431,us-east-1
2023-02-18,RDS,153.22,A6236,us-east-1
2023-02-18,EC2,159.83,A2360,us-west-2
2023-02-18,EC2,15.42,A3882,us-east-1
2023-02-18,CloudWatch,89.86,A4635,eu-central-1
2023-02-18,Lambda,11.04,A3244,eu-central-1
2023-02-18,Lambda,6.68,A3666,us-west-2
2023-02-19,S3,164.45,A9219,us-west-2
2023-02-19,Lambda,56.62,A3535,us-west-2
2023-02-19,S3,135.53,A9575,eu-central-1
2023-02-19,EC2,132.59,A7178,eu-central-1
2023-02-19,S3,103.57,A2149,us-east-1
2023-02-19,S3,112.55,A8072,us-west-2
2023-02-19,Lambda,17.03,A6448,eu-central-1
2023-02-19,S3,125.15,A4445,us-east-1
2023-02-20,CloudWatch,177.9,A6760,us-east-1
2023-02-20,Lambda,44.27,A8053,us-east-1
2023-02-20,RDS,110.49,A7549,us-east-1
2023-02-20,EC2,190.7,A4904,us-east-1
2023-02-20,Lambda,11.52,A5173,us-east-1
2023-02-20,EC2,90.57,A7907,us-west-2
2023-02-20,S3,142.96,A5416,us-west-2
2023-02-20,EC2,47.67,A7603,us-west-2
2023-02-20,Lambda,107.34,A6011,eu-central-1
2023-02-21,CloudWatch,30.66,A1007,us-west-2
2023-02-21,RDS,127.49,A4493,us-east-1
2023-02-21,S3,88.88,A5977,eu-central-1
2023-02-21,EC2,142.18,A5034,us-east-1
2023-02-21,CloudWatch,53.03,A3109,eu-central-1
2023-02-21,RDS,10.19,A8065,eu-central-1
2023-02-22,CloudWatch,117.59,A8012,us-west-2
2023-02-22,Lambda,147.02,A1423,us-east-1
2023-02-22,Lambda,77.5,A2529,us-east-1
2023-02-22,Lambda,143.81,A7578,eu-central-1
2023-02-22,CloudWatch,50.44,A9657,us-west-2
2023-02-23,S3,184.67,A4031,eu-central-1
2023-02-23,S3,168.79,A3862,eu-central-1
2023-02-23,RDS,86.29,A9043,us-east-1
2023-02-23,CloudWatch,64.73,A3251,us-west-2
2023-02-23,Lambda,17.02,A1240,us-west-2
2023-02-23,RDS,152.71,A3638,eu-central-1
2023-02-23,Lambda,197.49,A8655,us-west-2
2023-02-23,CloudWatch,121.96,A2532,us-east-1
2023-02-23,CloudWatch,180.79,A6197,us-west-2
2023-02-23,Lambda,163.64,A2633,us-east-1
2023-02-23,RDS,66.48,A7942,us-west-2
2023-02-23,RDS,117.12,A1779,us-west-2
2023-02-23,Lambda,159.72,A9887,eu-central-1
2023-02-23,S3,169.29,A7076,us-west-2
2023-02-24,S3,187.8,A7373,us-east-1
2023-02-24,CloudWatch,152.99,A4407,us-west-2
